id_match,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,score_differential,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4,month,day_of_week,year
2034563,Nations,0,BUL,-3.0,70000,MKD,-3.0,70000,1,0,1,20173,42.0057639,21.4255889,105,68,0,9,0,2022
2039019,Friendlies,0,BUL,-3.0,70000,ALB,-2.2,48468,0,2,-2,17232,41.3184028,19.8239528,105,68,0,10,1,2023
2040326,Friendlies,0,BUL,-3.0,70000,TAN,-3.0,70000,1,0,1,154,40.481058,50.145446,105,68,0,3,4,2024
2034496,Nations,0,BUL,-3.0,70000,GEO,-1.7,66820,0,0,0,54200,41.7229472,44.7897806,105,68,0,6,6,2022
2040329,Friendlies,0,BUL,-3.0,70000,AZE,-3.0,70000,1,1,0,3220,40.3973806,49.8523917,105,68,0,3,0,2024
2040621,Friendlies,0,CAN,-3.0,70000,FRA,1.2,401,0,0,0,21425,44.89925,-0.56579,105,68,0,6,6,2024
2040585,Friendlies,0,CAN,-3.0,70000,NED,0.1,1553,0,4,-4,21425,51.8939056,4.5232,105,68,0,6,3,2024
2040491,Friendlies,1,CAY,-3.0,70000,MDA,-3.0,70000,0,4,-4,110,36.907465,30.8938561,105,68,0,3,1,2024
2040001,Friendlies,0,CHI,-3.0,70000,FRA,1.2,401,2,3,-1,21425,43.26983,5.396,105,68,0,3,1,2024
2040328,Friendlies,0,CHI,-3.0,70000,ALB,-2.2,48468,3,0,3,21425,44.7949806,10.338325,105,68,0,3,4,2024
2039983,Friendlies,1,COL,-3.0,70000,ROU,0.3,12509,3,2,1,21425,40.436147,-3.600571,105,68,0,3,1,2024
2037960,Friendlies,0,COL,-3.0,70000,GER,2.5,398,2,0,2,21425,51.5545417,7.0675694,105,68,0,6,1,2023
2040007,Friendlies,0,COL,-3.0,70000,ESP,-0.1,545,1,0,1,21425,51.53882,-0.016493,105,68,0,3,4,2024
2040006,Friendlies,0,CRO,1.3,9340,TUN,-3.0,70000,0,0,0,21425,0.0,0.0,105,68,0,3,4,2024
