id_match,date,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4
2036347,6/17/2023,Qualifiers,1,BEL,1.1,2488,AUT,-1.2,6048,1,1,39237,50.8957583,4.3339472,105,68,0
2036462,10/16/2023,Qualifiers,1,BEL,1.1,2488,SWE,-3,70000,1,1,21425,50.8957583,4.3339472,105,68,0
2034507,6/14/2022,Nations,0,BEL,1.1,2488,POL,-0.1,17538,1,0,56803,52.239406,21.045881,105,68,0
2034521,9/22/2022,Nations,1,BEL,1.1,2488,WAL,-3,70000,2,1,28463,50.8957583,4.3339472,105,68,0
2036507,11/19/2023,Qualifiers,1,BEL,1.1,2488,AZE,-3,70000,5,0,30276,50.8957583,4.3339472,105,68,0
2034424,6/3/2022,Nations,1,BEL,1.1,2488,NED,0.1,1553,1,4,38327,50.8957583,4.3339472,105,68,0
2034447,6/8/2022,Nations,1,BEL,1.1,2488,POL,-0.1,17538,6,1,27409,50.8957583,4.3339472,105,68,0
2039814,3/26/2024,Friendlies,0,BEL,1.1,2488,ENG,0.3,451,2,2,21425,51.5558417,-0.2795972,105,68,0
2036415,9/12/2023,Qualifiers,1,BEL,1.1,2488,EST,-3,70000,5,0,24127,50.8957583,4.3339472,105,68,0
2034551,9/25/2022,Nations,0,BEL,1.1,2488,NED,0.1,1553,0,1,52314,52.314172,4.94185,105,68,0
2040261,6/5/2024,Friendlies,1,BEL,1.1,2488,MNE,-3,70000,2,0,21425,50.8957583,4.3339472,105,68,0
2039979,3/23/2024,Friendlies,0,BEL,1.1,2488,IRL,-3,70000,0,0,21425,53.335691,-6.228819,105,68,0
2036300,3/24/2023,Qualifiers,0,BEL,1.1,2488,SWE,-3,70000,3,0,49296,59.3725,18,105,68,0
2036370,6/20/2023,Qualifiers,0,BEL,1.1,2488,EST,-3,70000,3,0,11772,59.4213583,24.7321556,105,68,0
2039991,6/8/2024,Friendlies,1,BEL,1.1,2488,LUX,-3,70000,3,0,21425,50.8957583,4.3339472,105,68,0
2040204,6/3/2024,Friendlies,0,BIH,-3,70000,ENG,0.3,451,0,3,21425,54.9755444,-1.6216361,105,68,0
2036425,9/11/2023,Qualifiers,0,BIH,-3,70000,ISL,-3,70000,0,1,5229,64.1435667,-21.8790389,105,68,0
2034516,6/14/2022,Nations,1,BIH,-3,70000,FIN,-3,70000,3,2,8150,44.2057944,17.9071889,105,68,0
2036472,10/16/2023,Qualifiers,1,BIH,-3,70000,POR,1.4,601,0,5,13047,44.2057944,17.9071889,105,68,0
2036380,6/20/2023,Qualifiers,1,BIH,-3,70000,LUX,-3,70000,0,2,8600,44.2057944,17.9071889,105,68,0
2034545,9/23/2022,Nations,1,BIH,-3,70000,MNE,-3,70000,1,0,12050,44.2057944,17.9071889,105,68,0
2034432,6/4/2022,Nations,0,BIH,-3,70000,FIN,-3,70000,1,1,20181,60.1869611,24.9272583,105,68,0
2036312,3/23/2023,Qualifiers,1,BIH,-3,70000,ISL,-3,70000,3,0,9234,44.2057944,17.9071889,105,68,0
2039644,3/21/2024,Qualifiers,1,BIH,-3,70000,UKR,-0.3,20062,1,2,10992,44.2057944,17.9071889,105,68,0
2036358,6/17/2023,Qualifiers,0,BIH,-3,70000,POR,1.4,601,0,3,55058,38.751488,-9.188022,105,68,0
2036518,11/19/2023,Qualifiers,1,BIH,-3,70000,SVK,-1.1,15850,1,2,3800,44.2057944,17.9071889,105,68,0
2034460,6/7/2022,Nations,1,BIH,-3,70000,ROU,0.3,12509,1,0,4500,44.2057944,17.9071889,105,68,0
2036495,11/16/2023,Qualifiers,0,BIH,-3,70000,LUX,-3,70000,1,4,8520,49.581375,6.121066,105,68,0
2036403,9/8/2023,Qualifiers,1,BIH,-3,70000,LIE,-3,70000,2,1,6189,44.2057944,17.9071889,105,68,0
2040264,6/9/2024,Friendlies,0,BIH,-3,70000,ITA,1,1971,0,1,21425,43.7265111,10.9547472,105,66,0
2034561,9/26/2022,Nations,0,BIH,-3,70000,ROU,0.3,12509,1,4,12693,44.455138,26.056977,105,68,0
2036450,10/13/2023,Qualifiers,0,BIH,-3,70000,LIE,-3,70000,2,0,5874,47.140081,9.510255,105,68,0
2034491,6/11/2022,Nations,0,BIH,-3,70000,MNE,-3,70000,1,1,6555,42.4455611,19.2643444,105,68,0
2036334,3/26/2023,Qualifiers,0,BIH,-3,70000,SVK,-1.1,15850,0,2,6052,48.17758,17.154043,105,68,0
2036468,10/15/2023,Qualifiers,0,BLR,-3,70000,SUI,1.4,4995,3,3,17000,47.4070194,9.3041861,105,68,0
2036516,11/21/2023,Qualifiers,0,BLR,-3,70000,KOS,-3,70000,1,0,5026,42.66311,21.157107,105,68,0
2036423,9/12/2023,Qualifiers,0,BLR,-3,70000,ISR,-3,70000,0,1,28435,32.0518111,34.7614806,105,68,0
2036354,6/16/2023,Qualifiers,1,BLR,-3,70000,ISR,-3,70000,1,2,21425,47.5748972,19.0846167,105,68,0
